,company_name,company_website,url_type,power_url,wait_for
0,accenture,https://www.accenture.com/,static,https://www.accenture.com/us-en/careers/jobsearch?jk=power%20platform%20dynamic%20365&sb=1,"class=""rad-filters-vertical__job-card"""
1,nigel_frank_international,https://www.nigelfrank.com/,static,https://www.nigelfrank.com/microsoft-jobs?keyword=power+platform+&location=&jobType=both&page=1&remote=&security=&newJobs=true&salaryFrom=&salaryTo=&salaryCurrency=&segment=&product=,"class=""overview"""
2,avanade,https://www.avanade.com/,static,https://www.avanade.com/en/career/search-jobs#q=power%20platform&sortCriteria=%40job_area_of_expertise%20ascending,"class=""jobCard"""
3,deloitte_(microsoft_practice),https://www.deloitte.com/,static,https://apply.deloitte.com/en_US/careers/SearchJobs/power%20platform?9353=%5B95157%2C95156%5D&9353_format=6067&listFilterMode=1&jobRecordsPerPage=10&sort=relevancy,"class=""article--result """
4,cognizant_(microsoft_business_group),https://www.cognizant.com/,static,https://careers.cognizant.com/global-en/jobs/?keyword=power+platform&location=&radius=100&lat=&lng=&cname=&ccode=&pagesize=50#results,"class=""card-job-actions js-job"""
5,capgemini,https://www.capgemini.com/,static,https://www.capgemini.com/careers/join-capgemini/job-search/?keyword=power%20platform&size=100,"class=""table-tr filter-box tag-active joblink"""
6,infosys,https://www.infosys.com/,static,https://digitalcareers.infosys.com/infosys/global-careers?keyword=power+plaform&per_page=100&page=1,"class=""left-section"""
7,apex_systems,https://apexsystems.com/,static,https://www.apexsystems.com/search-results-usa?catalogcode=USA&address=&radius=50&page=1&rows=50&query=power%20platform%20&remote=,"class=""job-td-link"""
8,randstad_technologies,https://randstadusa.com/,static,https://www.randstadusa.com/jobs/q-power-platform/,"class=""cards__title"""
9,robert_half_technology,https://roberthalf.com/technology,static,https://www.roberthalf.com/us/en/jobs/all/power-platform,"class=""rhcl-job-card__inner-container"""
10,akkodis_(modis),https://akkodis.com/,,https://www.akkodis.com/en-ca/careers/job-results?q=power%20platform,"class=""JobSearchResults_filter-results-job-position__w2qDq"""
11,hitachi_solutions,https://global.hitachi-solutions.com/,static,https://careers.smartrecruiters.com/HitachiSolutions/?search=power%20platform,"class=""list--dotted title-list"""
12,experis_(manpowergroup),https://experis.com/,static,https://www.experis.com/en/search?page=1&searchKeyword=power+platform&sortOrder=Relevance&sf=sortOrder&ids={sortOrder:[d345ff2072b1444daf5d15d7a57ba3fe]},"class=""job-actionbar"""
13,booz_allen_hamilton,https://www.boozallen.com/,static,https://careers.boozallen.com/jobs/search/power%20platform?listFilterMode=1&jobRecordsPerPage=20&,"class=""table--default"""
14,kpmg_llp,https://www.kpmg.us/,static,https://www.kpmguscareers.com/job-search/?career-level=&career-level-parents=Experienced&practice-areas-parents=Innovation%20%26%20Technology%7C&practice-areas=&keyword=power%20platform&location=&radius=50&spage=1,"class=""list-view d-flex justify-content-between"""
15,dxc_technology,https://www.dxc.com/,static,https://careers.dxc.com/global/en/search-results?keywords=power%20platform,"class=""information"""
16,ntt_data,https://us.nttdata.com/,static,https://nttdata.eightfold.ai/careers?query=power+platform&start=0&pid=563327924072039&sort_by=solr,"data-test-id=""job-listing"""
17,epam_systems,https://www.epam.com/,static,https://www.epam.com/careers/job-listings?recruitingUrl=%2Fcontent%2Fepam%2Fen%2Fcareers%2Fjob-listings%2Fjob&query=power+platform+&country=all&sort=relevance&searchType=placeOfWorkFilter,"class=""search-result__item-info-group"""
18,rsm_us_llp,https://rsmus.com/,static,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers?q=power%20platform,"class=""css-1q2dra3"""
19,hso,https://www.hso.com/,static,https://www.hso.com/careers/vacancies/?searchTerm=power+platform,"class=""card card--text"""
20,argano_(arbela),https://argano.com/,static,https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs?keyword=power+platform&mode=location,"class=""job-list-item__link"""
21,quisitive,https://quisitive.com/,static,https://quisitive.com/careers/careers-north-america/,"class=""job-posts"""
22,crowe_llp,https://www.crowe.com/,static,https://careers.crowe.com/search-results?keywords=power%20platform,"class=""job-title"""
23,perficient,https://www.perficient.com/,static,https://fa-etqd-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs?keyword=power+platform&mode=location,"class=""job-list-item__link"""
24,velosio,https://velosio.com/,static,https://careers.velosio.com/jobs?keywords=power%20platform%20&sortBy=relevance&page=1&limit=100,"class=""description-container"""
25,sikich_llp,https://www.sikich.com/,static,https://jobs.jobvite.com/sikichcareers/search?q=power%20platform&l=&c=,"class=""jv-job-list-name"""
26,focus_cloud_(cognitive_group),https://focuscloudgroup.org/,static,https://www.focuscloudgroup.org/job-search/?keyword=power+platform,"class=""results-header"""
27,next_ventures,https://www.next-ventures.com/,static,https://next-ventures.us/jobs/?matador_s=power+platform,"class=""job_listings"""
28,addison_group_(tech),https://addisongroup.com/,static,https://www.addisongroup.com/jobs/l/recruiting/jobsearchaction/19e62b1f-e3e6-11eb-be56-42010a8a0031/8b589444-39b4-11f0-8e87-0242683a33f9/false?locations=&term=power+platform&postalCode=,"class=""list-group-item"""
29,motion_recruitment,https://motionrecruitment.com/,static,https://motionrecruitment.com/tech-jobs?keywords=power+platform,"class=""JobItem_module_jobItem"""
30,collabera,https://collabera.com/,static,https://collabera.com/job-search/?sort_by=&industry=&keyword=power+platform+&location=&Posteddays=0,"class=""card-body"""
31,computer_futures_(sthree),https://computerfutures.com/,static,https://www.computerfutures.com/en-gb/find-a-job/?searchRadius=100mi&country=Austria%2CBelgium%2CGermany%2CJapan%2CNetherlands%2CUnited+Kingdom%2CUnited+States&keywords=power+platform,"class=""job-search"""
32,pearson_carter,https://pearsoncarter.com/,static,https://www.pearsoncarter.com/jobs/?search_keywords=power+platform&search_location=&search_radius=&radius_type=miles&filter_job_type%5B%5D=contract&filter_job_type%5B%5D=contractor&filter_job_type%5B%5D=full-time&filter_job_type%5B%5D=on-a-daily-basis&filter_job_type%5B%5D=permanent&filter_job_type%5B%5D=placement&filter_job_type%5B%5D=temporary&filter_job_type%5B%5D=#s=1,"class=""listing-title"""
33,prodapta_(ellis_group),https://prodapta.com/,static,https://www.prodapta.com/search-jobs/?fwp_keyword=power%20platform,"class=""job-item"""
34,investigo,https://investigo.co.uk/,static,https://www.investigo.co.uk/jobs?sort_type=relevance&query=power+platform&selected_locations=&submit=Search&source=google.com,"class=""job-result-item"""
35,mondo,https://mondo.com/,static,https://mondo.com/jobs/l/recruiting/jobsearchaction/c8336608-98ca-11ec-8029-42010a8a0008/d76c7451-39b8-11f0-8e87-0242683a33f9/false?term=power+platform&postalCode=,"class=""list-group-item"""
36,columbus_global_(u.s.),https://www.columbusglobal.com/,static,https://careers.columbusglobal.com/jobs?split_view=true&query=power+platform,"id=""jobs_list_container"""
